Wall time,Step,Value
1584539975.65169,1000,-1456.106689453125
1584540005.1138642,21000,-1379.0030517578125
1584540035.619539,41000,-1314.3525390625
1584540065.5470834,61000,-1303.6727294921875
1584540095.5662975,81000,-1295.2113037109375
1584540126.3552272,101000,-1298.49365234375
1584540157.3027966,121000,-1255.028076171875
1584540188.2026148,141000,-1255.812744140625
1584540218.4740922,161000,-1223.8565673828125
1584540249.3930395,181000,-1228.448486328125
1584540278.522129,201000,-1198.51123046875
1584540307.6631567,221000,-1176.4521484375
1584540337.808207,241000,-1155.597900390625
1584540366.992536,261000,-1136.509765625
1584540397.7681618,281000,-1091.8057861328125
1584540427.7359984,301000,-1110.0716552734375
1584540458.5799842,321000,-1111.827392578125
1584540489.8148715,341000,-1072.47705078125
1584540520.5929127,361000,-1052.1558837890625
1584540551.499584,381000,-1079.2423095703125
1584540583.2430413,401000,-1030.2015380859375
1584540614.3631437,421000,-1031.2376708984375
1584540644.1143572,441000,-1034.403076171875
1584540674.1864948,461000,-1009.8270874023438
1584540704.4511352,481000,-1011.7409057617188
1584540734.5105987,501000,-980.92626953125
1584540763.719631,521000,-1014.956787109375
1584540794.9765325,541000,-952.5868530273438
1584540825.9137847,561000,-949.6912841796875
1584540859.3080304,581000,-978.2743530273438
1584540891.3040547,601000,-959.256103515625
1584540927.6735082,621000,-941.3280639648438
1584540959.5903785,641000,-921.254638671875
1584540989.8893278,661000,-914.5482177734375
1584541020.5255032,681000,-896.1683959960938
1584541051.3040795,701000,-927.3272705078125
1584541081.4565706,721000,-883.2469482421875
1584541111.6251988,741000,-881.3026733398438
1584541142.2435815,761000,-855.039794921875
1584541172.4432678,781000,-894.6987915039062
1584541203.2218406,801000,-866.3672485351562
1584541235.3192785,821000,-819.33056640625
1584541264.7612922,841000,-828.7698364257812
1584541295.272665,861000,-843.3108520507812
1584541326.972501,881000,-770.7090454101562
1584541357.629075,901000,-762.5068359375
1584541387.4332209,921000,-747.099609375
1584541416.8278031,941000,-783.2098999023438
1584541447.7309217,961000,-821.5989379882812
1584541478.5409384,981000,-782.8788452148438
1584541508.1572957,1001000,-751.4692993164062
1584541508.3167727,1001000,-751.4692993164062
