Wall time,Step,Value
1587582020.7369306,2000,-1101.910888671875
1587582115.5031934,42000,-762.4457397460938
1587582212.0392218,82000,-378.6573181152344
1587582309.866445,122000,-27.47551727294922
1587582406.8185825,162000,425.1047058105469
1587582503.2287307,202000,709.5142822265625
1587582600.7995,242000,848.5433349609375
1587582697.2671003,282000,953.6243286132812
1587582793.0379896,322000,1064.6390380859375
1587582891.0419018,362000,1081.521240234375
1587582985.6620555,402000,1138.58935546875
1587583085.3365073,442000,1203.9388427734375
1587583178.4900148,482000,1235.0819091796875
1587583268.285757,522000,1240.9124755859375
1587583359.1933022,562000,9.51738166809082
1587583450.0389287,602000,730.0396118164062
1587583540.190394,642000,1134.9501953125
1587583632.00506,682000,1244.6337890625
1587583722.6778061,722000,1311.9334716796875
1587583809.6674352,762000,1421.09619140625
1587583897.060667,802000,1461.3443603515625
1587583987.6475687,842000,1290.7054443359375
1587584076.7242494,882000,1219.055908203125
1587584162.4030116,922000,1221.8648681640625
1587584248.7343776,962000,1193.586669921875
1587584338.9245105,1002000,998.91845703125
1587584344.3050072,1002000,998.91845703125
