Wall time,Step,Value
1583404690.413989,1005,22.416715621948242
1583404899.6048868,21478,109.58894348144531
1583405134.5711496,42380,165.5201873779297
1583405373.5021844,63253,177.98130798339844
1583405604.246302,84658,257.78131103515625
1583405822.7823172,105789,319.9745788574219
1583406084.192203,127400,344.9105224609375
1583406331.2524319,149073,380.9906311035156
1583406614.966274,173019,978.3944091796875
1583406877.0569532,198382,1284.725341796875
1583407181.0422175,222320,1228.973388671875
1583407434.062661,246772,1209.2960205078125
1583407662.7865932,270982,1466.9498291015625
1583407940.0533235,295966,1242.1014404296875
1583408228.5157754,320775,1003.250732421875
1583408474.885516,344177,1313.5294189453125
1583408744.7927325,367423,1214.000244140625
1583409178.258747,391690,1272.2589111328125
1583409574.8052676,415225,1340.207275390625
1583410162.931058,442706,1502.0538330078125
1583410516.5832398,466480,1307.7794189453125
1583410969.3713078,491566,1890.8492431640625
1583411391.9806707,516748,1646.9844970703125
1583411851.4694593,542176,1659.8272705078125
1583412160.7582366,567095,1668.698486328125
1583412592.4135218,594419,2004.7235107421875
1583412938.5749836,618095,2542.55029296875
1583413364.8248382,642961,2589.478515625
1583413669.3155494,667917,2713.951904296875
1583413842.2696917,693225,2729.5791015625
1583413979.864919,717406,2489.6318359375
1583414082.9817939,742745,1600.4990234375
1583414228.8726113,768329,1631.4979248046875
1583414368.8614933,793047,1308.1436767578125
1583414528.0705144,817779,1557.6121826171875
1583414696.8918507,843679,1571.6827392578125
1583414837.0387914,868403,1494.9708251953125
1583415059.422244,893523,2495.11376953125
1583415235.911058,918052,2778.2548828125
1583415375.4565508,940132,2759.3466796875
1583415526.8292897,965042,2479.866455078125
1583415675.722951,990889,2295.44775390625
1583415766.046926,1000283,2370.989013671875
