Wall time,Step,Value
1588061952.497183,2004,13.795209884643555
1588062077.247952,43057,227.5693359375
1588062217.7274127,84941,348.1863098144531
1588062351.5576966,126678,469.0685729980469
1588062501.9568617,169375,683.2263793945312
1588062635.2939892,212152,837.9618530273438
1588062795.860231,256785,1093.87744140625
1588062957.4972372,302948,1431.510498046875
1588063127.777938,349424,1580.378173828125
1588063294.0911903,394525,1627.6053466796875
1588063443.9790576,440015,1487.0465087890625
1588063595.5166597,485461,1555.3265380859375
1588063735.3221848,530930,1737.4388427734375
1588063851.6148236,577761,1984.606201171875
1588063981.1367302,623555,1997.8223876953125
1588064107.0782516,669407,1976.8265380859375
1588064227.8412764,716328,2226.499755859375
1588064351.6380079,764855,2324.93212890625
1588064424.0178268,809875,2571.15771484375
1588064485.0661073,858430,2429.232666015625
1588064545.1892984,903606,1965.315673828125
1588064597.0926797,950105,1984.595703125
1588064646.3917246,994633,1850.4830322265625
1588064657.6416168,1001496,1941.51171875
