Wall time,Step,Value
1588084411.9202292,2011,17.032054901123047
1588084459.4612808,42953,193.5117950439453
1588084506.6650865,84113,263.8072509765625
1588084555.5708046,125321,321.3765563964844
1588084601.2521951,166786,362.138671875
1588084649.9598346,208667,497.7677917480469
1588084698.007272,250427,539.431640625
1588084745.6854372,292012,555.8590698242188
1588084795.3218968,334154,589.1704711914062
1588084845.1988206,376072,663.9576416015625
1588084898.806499,418960,731.926025390625
1588084948.9782403,461354,765.0704345703125
1588084999.5012476,505040,868.1285400390625
1588085056.3978524,549119,1095.5745849609375
1588085109.6582441,592894,1083.0252685546875
1588085166.6105733,636722,1343.1304931640625
1588085222.3942893,681049,1223.446044921875
1588085276.42942,726696,1838.274658203125
1588085338.8171704,774181,2093.002685546875
1588085395.7940452,821180,2370.705078125
1588085455.7983727,866484,2105.58935546875
1588085513.2190835,913388,2210.95166015625
1588085569.5700185,959010,2341.175537109375
1588085611.2434425,1002287,2534.97509765625
