Wall time,Step,Value
1588084413.6166453,2010,16.101482391357422
1588084458.4340813,42722,151.0383758544922
1588084503.4510696,83951,242.64414978027344
1588084548.7498567,125459,343.9170837402344
1588084594.5392184,166810,457.43499755859375
1588084641.455113,208205,567.2344360351562
1588084692.3925471,250233,585.5735473632812
1588084741.2977655,292740,672.000732421875
1588084793.2090049,337410,952.796630859375
1588084845.622009,380922,1004.5321044921875
1588084900.7292564,424991,1111.5592041015625
1588084957.414995,469938,1306.3309326171875
1588085017.6758049,517674,1831.947998046875
1588085069.4189825,562998,1387.0523681640625
1588085124.223959,606046,1208.137451171875
1588085183.2003582,652200,1373.2384033203125
1588085239.9514694,696074,1638.096923828125
1588085293.0019639,740348,1357.6976318359375
1588085347.63793,786207,1624.4329833984375
1588085402.5048118,834021,2223.822509765625
1588085458.6556067,880740,2069.6064453125
1588085516.4786484,927447,1699.0743408203125
1588085577.1065645,977035,1999.63720703125
1588085601.586276,1002250,1757.2681884765625
