Wall time,Step,Value
1588163514.9036913,4006,-1.3266308307647705
1588163590.3747444,85694,159.14874267578125
1588163667.113178,168680,290.6982421875
1588163743.8335543,250672,332.2464904785156
1588163820.4968967,333334,489.21923828125
1588163902.9898555,418098,861.459228515625
1588163982.9738696,501977,1085.251953125
1588164063.661843,586951,1312.857421875
1588164144.7178397,671467,1391.534423828125
1588164227.499612,757996,1638.1923828125
1588164306.9761794,844396,1574.2095947265625
1588164384.479552,929528,1778.9024658203125
1588164454.4272385,1004013,1836.154296875
