Wall time,Step,Value
1588061950.744985,2007,13.255330085754395
1588062045.9752958,42918,213.31301879882812
1588062140.066185,83881,308.4423522949219
1588062239.5458555,124984,349.1104431152344
1588062336.1516542,166347,371.0271911621094
1588062433.559329,208121,465.100341796875
1588062532.4574673,250186,591.3829345703125
1588062631.3316495,292567,661.302490234375
1588062734.452231,335136,771.3502197265625
1588062834.4628735,377655,824.0697021484375
1588062935.2683852,420258,866.1478271484375
1588063037.4449937,463513,863.392578125
1588063139.658001,506500,871.962646484375
1588063240.6852133,549181,928.47509765625
1588063342.0254738,591792,970.36572265625
1588063441.4100585,635094,1209.9366455078125
1588063554.3283052,679452,1242.167724609375
1588063662.654246,723412,1155.5682373046875
1588063770.6469784,767652,1184.5047607421875
1588063873.5778165,811833,1215.606201171875
1588063978.2812061,855215,1235.5506591796875
1588064081.751855,899100,1323.302001953125
1588064190.4621274,943941,1470.0267333984375
1588064292.575667,988346,1358.4613037109375
1588064324.3294349,1001843,1468.551025390625
