Wall time,Step,Value
1588061957.3385792,2004,14.061113357543945
1588062053.2046535,43250,205.4228057861328
1588062146.9180272,84612,296.4947509765625
1588062234.7892015,125947,326.132080078125
1588062333.8993218,167460,371.9173278808594
1588062429.6596613,208893,433.60888671875
1588062526.6576989,250665,535.1112060546875
1588062626.9340205,292560,599.368408203125
1588062727.310323,334320,566.2351684570312
1588062826.308395,376165,587.8433227539062
1588062928.7729108,417626,588.145751953125
1588063027.4284298,460048,594.6470947265625
1588063123.9712808,501876,597.9813842773438
1588063225.3459988,544219,646.9652099609375
1588063326.3058143,586213,650.512451171875
1588063422.4282198,628107,671.7075805664062
1588063533.4304569,671186,1287.3916015625
1588063643.2684367,715088,1214.751708984375
1588063757.147229,760703,1493.419677734375
1588063866.0960214,804862,1471.94873046875
1588063984.5537748,850347,1455.2662353515625
1588064096.5672784,895178,1396.7947998046875
1588064208.074157,940543,1557.1026611328125
1588064314.1342902,985855,1574.867431640625
1588064349.8035736,1001105,1288.1600341796875
