Wall time,Step,Value
1585569586.8927886,1000,-426.9846496582031
1585569708.2370775,11000,-307.2944030761719
1585569833.4247708,21000,580.2194213867188
1585569957.887583,31000,1861.7943115234375
1585570082.3178015,41000,2952.89892578125
1585570208.777434,51000,3828.587646484375
1585570333.8363917,61000,4015.645751953125
1585570459.9618223,71000,4749.57177734375
1585570585.5659292,81000,5188.345703125
1585570710.2116928,91000,5501.00048828125
1585570836.0167685,101000,5733.86083984375
1585570961.7448885,111000,5889.78271484375
1585571086.8300214,121000,6147.3671875
1585571212.210155,131000,6213.9541015625
1585571337.3078923,141000,6368.85986328125
1585571463.9193118,151000,6560.7294921875
1585571588.5821435,161000,6676.57568359375
1585571714.3425875,171000,6809.25390625
1585571839.6552548,181000,6951.61279296875
1585571965.460787,191000,7029.32666015625
1585572091.8811092,201000,7150.30859375
1585572216.8212793,211000,7225.23828125
1585572341.2453172,221000,7375.146484375
1585572467.6958263,231000,7438.517578125
1585572593.9071655,241000,7554.07177734375
1585572720.3966546,251000,7414.90869140625
1585572845.4983082,261000,7715.55712890625
1585572970.5019176,271000,7799.517578125
1585573094.1769924,281000,7938.70703125
1585573220.149459,291000,8078.6923828125
1585573346.8155859,301000,7749.93359375
1585573472.709378,311000,8050.7666015625
1585573597.0897465,321000,8204.90234375
1585573722.4107177,331000,8307.802734375
1585573847.6238406,341000,8390.669921875
1585573972.9490519,351000,8101.36279296875
1585574099.0427828,361000,8420.09765625
1585574225.0692868,371000,8549.955078125
1585574350.884397,381000,8633.3271484375
1585574476.327071,391000,8526.830078125
1585574602.9440079,401000,8705.1533203125
1585574729.496158,411000,8732.509765625
1585574857.3158145,421000,8805.365234375
1585574983.566291,431000,8886.19921875
1585575109.5593987,441000,8939.53125
1585575236.9365828,451000,8973.4306640625
1585575362.2374477,461000,9064.25390625
1585575487.4490125,471000,9089.2158203125
1585575612.9026482,481000,9180.541015625
1585575738.786372,491000,9146.9638671875
1585575864.076629,501000,9221.6435546875
1585575990.7826455,511000,9196.984375
1585576116.6668453,521000,9332.0576171875
1585576242.5044472,531000,9437.6474609375
1585576369.3381364,541000,9483.546875
1585576494.5867941,551000,9517.7216796875
1585576618.7656698,561000,9550.669921875
1585576743.2851217,571000,9555.583984375
1585576867.7481515,581000,9650.3271484375
1585576992.5764453,591000,9780.7626953125
1585577119.2693167,601000,9829.21484375
1585577244.9707053,611000,9861.529296875
1585577371.1665783,621000,9899.7822265625
1585577496.430356,631000,10057.966796875
1585577620.6772904,641000,9335.0185546875
1585577746.1549025,651000,9845.3876953125
1585577872.5074415,661000,10076.8701171875
1585577997.8082323,671000,10108.8427734375
1585578122.7402806,681000,10150.470703125
1585578248.106585,691000,10295.5830078125
1585578372.6269407,701000,10311.7421875
1585578499.3419816,711000,10410.978515625
1585578626.0528862,721000,10423.20703125
1585578752.4218414,731000,10472.40234375
1585578877.0989382,741000,10529.7939453125
1585579001.5280445,751000,10559.140625
1585579125.3541687,761000,10592.8935546875
1585579249.7191026,771000,10560.5244140625
1585579374.876122,781000,10645.185546875
1585579500.804499,791000,10763.36328125
1585579625.9421315,801000,10794.8662109375
1585579751.6345656,811000,10852.1484375
1585579878.0850592,821000,10794.228515625
1585580003.3610156,831000,10891.98046875
1585580128.5014608,841000,10954.1982421875
1585580253.2431896,851000,10910.955078125
1585580378.4332564,861000,10951.6279296875
1585580504.2077174,871000,10555.0380859375
1585580630.259069,881000,10885.8369140625
1585580755.9952514,891000,10948.6708984375
1585580882.7458186,901000,11049.224609375
1585581007.8488438,911000,11180.67578125
1585581133.2016094,921000,11229.0283203125
1585581258.5986755,931000,11183.8935546875
1585581384.254103,941000,11159.0517578125
1585581509.6916304,951000,11201.634765625
1585581634.2204897,961000,11208.2783203125
1585581759.4516673,971000,11218.71484375
1585581884.4961238,981000,11260.0751953125
1585582009.5292692,991000,10917.6923828125
1585582123.3736482,1000000,11164.6123046875
