Wall time,Step,Value
1584306903.8063571,1007,12.16197681427002
1584306985.2795393,11292,54.57875442504883
1584307070.3913155,21844,155.55482482910156
1584307159.1683817,32779,507.2781066894531
1584307255.789225,44625,545.4283447265625
1584307343.7158587,55568,430.9522399902344
1584307448.4117315,68217,680.03564453125
1584307554.8794699,81084,880.6149291992188
1584307658.2213535,93553,1069.5997314453125
1584307752.7513187,105064,690.8642578125
1584307840.6759408,115804,434.91339111328125
1584307940.2595308,126995,849.31201171875
1584308033.470646,138414,697.10791015625
1584308137.285088,151243,900.063232421875
1584308234.795383,163295,821.7382202148438
1584308324.6219182,174293,753.384033203125
1584308432.6947336,186836,1057.45654296875
1584308531.140493,198839,1123.38427734375
1584308628.1976058,210638,1088.002197265625
1584308719.3838718,221713,972.3583374023438
1584308814.2115157,233278,1130.5535888671875
1584308921.8160717,245503,1388.072998046875
1584309020.8881261,257486,1592.10107421875
1584309123.21792,270066,1279.7159423828125
1584309220.7070384,282017,1194.3013916015625
1584309319.0165398,293993,1291.60498046875
1584309462.1207302,306690,1422.9141845703125
1584309574.4813123,320648,1858.9615478515625
1584309682.5759642,334132,2394.700439453125
1584309779.5569613,346166,1953.243896484375
1584309880.8206346,358802,2146.29150390625
1584309994.1211295,371901,2311.774658203125
1584310099.3427994,384596,2611.935302734375
1584310196.0214,396372,2440.620849609375
1584310306.0046349,409617,2721.413818359375
1584310399.9088,421049,1961.6771240234375
1584310509.7972403,432703,1592.6082763671875
1584310618.952895,445822,1984.96240234375
1584310719.0859292,458067,2078.204345703125
1584310822.649761,470727,1718.0015869140625
1584310920.2232106,482802,1779.7415771484375
1584311037.5503447,494687,2423.09375
1584311140.0666962,507140,2517.226806640625
1584311246.0356133,519758,2368.478759765625
1584311353.3970177,532625,1833.1480712890625
1584311453.0862596,544683,1585.374755859375
1584311576.980064,556386,1587.2969970703125
1584311667.708603,567347,1249.1959228515625
1584311774.1819868,580197,1697.5540771484375
1584311873.4719677,592149,2077.883056640625
1584311968.3882258,603939,1972.345458984375
1584312080.480573,616055,2040.77197265625
1584312184.9179227,628455,2268.248291015625
1584312286.8842516,640713,2208.960205078125
1584312395.0329423,653613,2082.365234375
1584312496.8889194,665807,1811.5469970703125
1584312646.2621355,679400,1971.16259765625
1584312744.726092,691197,1775.3294677734375
1584312850.513084,704008,2304.71435546875
1584312946.1924472,715364,2223.689697265625
1584313049.9316268,727758,1959.9241943359375
1584313167.263306,741334,1984.4490966796875
1584313270.9856877,753619,2335.375244140625
1584313377.621712,766322,2019.2440185546875
1584313495.103466,780259,2160.41552734375
1584313595.131046,792240,1676.9588623046875
1584313707.0844889,803956,1785.3873291015625
1584313817.473445,817072,2101.396484375
1584313918.01162,829270,1670.69287109375
1584314029.2816832,842651,1763.6019287109375
1584314141.6597464,856023,2346.5751953125
1584314255.0539815,868264,2292.4189453125
1584314350.484811,879770,2209.001220703125
1584314457.0586271,892592,2886.09765625
1584314545.0209289,903019,2910.103271484375
1584314657.5558207,916542,2955.011474609375
1584314775.0848517,928826,2936.223876953125
1584314879.1450179,941316,2881.21240234375
1584314987.9074316,954309,2899.597900390625
1584315099.840345,967656,2317.25830078125
1584315207.3954403,980630,2196.027099609375
1584315340.9122267,992023,1678.9520263671875
1584315442.2126656,1004277,1800.768798828125
1584315537.7689638,1015699,1312.514404296875
1584315637.430265,1027621,1153.3519287109375
1584315732.9779098,1039009,1267.6854248046875
1584315844.4101267,1051282,1444.5809326171875
1584315946.528089,1063604,1391.277099609375
1584316040.9908779,1075045,1546.6710205078125
1584316155.0313435,1088863,1783.7757568359375
1584316266.480542,1102639,2130.390869140625
1584316371.9351373,1114057,1831.3759765625
1584316476.727383,1126980,1764.99169921875
1584316573.4018862,1138934,1351.490478515625
1584316684.1477125,1152558,2105.986083984375
1584316790.0727715,1165714,1970.928955078125
1584316896.3989089,1177632,1994.0618896484375
1584317016.9426987,1192162,2298.430419921875
1584317121.100181,1204748,2144.416748046875
1584317217.7737658,1216275,2170.5966796875
1584317316.298558,1228093,2609.705810546875
