Wall time,Step,Value
1585624045.3977199,1026,36.441688537597656
1585624168.9669077,11195,55.8607292175293
1585624299.4723053,21665,163.50550842285156
1585624440.1613595,32874,418.64837646484375
1585624568.0100713,43111,492.8634338378906
1585624729.7236362,56133,619.7100830078125
1585624872.0366697,67524,479.60418701171875
1585625007.1387646,78449,502.0996398925781
1585625138.7552304,89108,432.7971496582031
1585625276.0116923,100062,632.5807495117188
1585625409.5742538,110821,491.6515808105469
1585625550.917398,122234,719.4742431640625
1585625693.6119626,133638,1088.7469482421875
1585625847.2766252,145873,1353.105712890625
1585626026.5364842,160111,2056.99072265625
1585626174.3607082,171922,1808.7601318359375
1585626327.608073,184104,2591.64794921875
1585626499.313312,197542,2905.4501953125
1585626673.6826448,211272,2949.973876953125
1585626831.4718742,223747,3207.531005859375
1585626976.981159,235351,3235.8544921875
1585627108.0025487,245680,3244.849609375
1585627249.2305884,256881,3256.3349609375
1585627381.2221875,267439,3275.093017578125
1585627517.373962,278416,3286.89990234375
1585627665.4938095,290212,3263.32470703125
1585627836.0716398,303685,3300.679443359375
1585627989.582301,315787,3238.701416015625
1585628147.0590205,328130,3200.49560546875
1585628286.6988745,339280,3339.638427734375
1585628428.2449157,350538,2962.2978515625
1585628594.7280884,363661,3296.095458984375
1585628732.9921868,374654,3428.964111328125
1585628859.6068392,384654,3492.32568359375
1585629000.2141795,395774,3399.672119140625
1585629127.2964613,405774,3490.894287109375
1585629254.8612537,415774,3522.990478515625
1585629411.9572334,428132,3530.85693359375
1585629539.639043,438293,3541.432861328125
1585629669.0394857,448549,3561.44287109375
1585629818.4638727,460414,3571.339111328125
1585629955.5169795,471506,3366.893798828125
1585630101.7804053,483102,3303.7353515625
1585630258.1225142,495430,3481.27197265625
1585630407.338682,507142,3357.06591796875
1585630533.9009562,517336,3513.2021484375
1585630682.9728098,529200,3579.321533203125
1585630829.515715,540760,3591.6962890625
1585630983.5953991,552918,3564.320068359375
1585631114.043775,563251,3574.867431640625
1585631251.4135087,574243,3578.823974609375
1585631382.9521003,584835,3591.88720703125
1585631521.9923606,596031,3596.108154296875
1585631658.594681,606937,3599.8681640625
1585631783.722856,616937,3600.606201171875
1585631921.5825424,627921,3613.371826171875
1585632059.1611621,638760,3489.21875
1585632207.7488103,650401,3409.678955078125
1585632335.074534,660426,3420.462890625
1585632473.9969695,671352,3535.86669921875
1585632610.8318334,682041,3592.658203125
1585632762.378651,694081,3600.81396484375
1585632917.2458248,706387,3604.86669921875
1585633061.4831533,717803,3559.445068359375
1585633212.8764775,729872,3607.191650390625
1585633348.0714521,740665,3634.253662109375
1585633497.9616113,752751,3637.930419921875
1585633654.356873,765075,3607.490966796875
1585633794.5072327,776056,3609.490234375
1585633928.8575966,786925,3632.29443359375
1585634087.5580237,799530,3639.916259765625
1585634225.1287732,810491,3476.780029296875
1585634366.3645716,821719,3566.76708984375
1585634493.927398,831719,3607.97314453125
1585634626.6782508,842236,3626.867919921875
1585634759.542866,852640,3634.011474609375
1585634901.2501776,863816,2992.363037109375
1585635044.5164442,875056,3291.39111328125
1585635194.7936645,886923,3516.368896484375
1585635339.8520215,898477,3598.01806640625
1585635492.4244287,910622,3392.931640625
1585635648.5550628,923033,3552.546630859375
1585635798.227625,935003,3618.0556640625
1585635944.1718876,946494,3642.261962890625
1585636108.1499164,959438,3572.037841796875
1585636283.2791414,973339,3616.993896484375
1585636427.39429,984986,3603.251953125
1585636570.133406,996469,3386.828857421875
1585636721.9112775,1008469,3085.529296875
1585636881.601009,1021184,3451.681884765625
1585637008.9985235,1031184,3582.968994140625
1585637144.1082888,1041956,3561.530029296875
1585637293.2170818,1053899,3612.828857421875
1585637466.8322494,1067678,3307.4501953125
1585637605.3712692,1078620,3528.564208984375
1585637791.1069522,1093468,3613.59716796875
1585637931.7050729,1104542,3442.3779296875
1585638067.79499,1115300,3530.249755859375
1585638209.0238705,1126548,3613.31298828125
1585638341.7436745,1136966,3633.282958984375
1585638467.581129,1146771,3336.39306640625
