Wall time,Step,Value
1584369709.196644,1024,-1.8381356000900269
1584369806.5933278,11260,33.88488006591797
1584369930.7843728,24077,244.37498474121094
1584370039.466865,35255,225.10328674316406
1584370143.6071951,46029,315.5078125
1584370256.2191286,57708,368.55645751953125
1584370368.5930803,68900,341.622802734375
1584370478.392528,80077,349.6645202636719
1584370585.637434,90829,325.8456115722656
1584370696.7740664,102168,298.5519104003906
1584370804.510678,113098,374.1415710449219
1584370926.823471,124924,389.46087646484375
1584371042.2700431,136745,372.28350830078125
1584371150.7694638,147940,349.3352355957031
1584371258.1498876,159155,408.0908203125
1584371364.920096,170445,474.35821533203125
1584371491.4380727,181698,646.8930053710938
1584371608.9265025,194101,778.6023559570312
1584371718.4205642,205297,765.6967163085938
1584371831.4511812,217016,771.5174560546875
1584371961.1469088,230265,763.1473388671875
1584372087.7913053,241755,822.1679077148438
1584372207.3630579,253928,715.2188720703125
1584372328.2472532,266096,1067.3448486328125
1584372448.6657767,278196,1039.2742919921875
1584372565.4535248,290002,978.5033569335938
1584372692.6393025,302282,1069.96484375
1584372816.3686705,314614,999.6044921875
1584372953.9618506,328455,1316.5078125
1584373077.9799666,340841,1542.42041015625
1584373205.4245572,353452,1727.6943359375
1584373332.7442708,365110,1435.799072265625
1584373458.7039123,377896,1521.3421630859375
1584373577.896439,389813,1755.6864013671875
1584373698.8156934,401959,1821.4921875
1584373836.0570617,415757,1771.2552490234375
1584373980.129115,428499,1586.7298583984375
1584374128.5701153,443187,1798.3389892578125
1584374268.5916848,457265,1773.0142822265625
1584374386.7005637,469001,1850.7030029296875
1584374521.3432817,482530,1920.8468017578125
1584374686.8316283,497194,1908.6937255859375
1584374804.1826046,508947,1788.31787109375
1584374942.4285314,522883,1631.0301513671875
1584375081.5003605,537217,1757.233642578125
1584375210.470686,550450,1494.0833740234375
1584375362.565457,562586,1607.108642578125
1584375483.9652865,575490,1383.6241455078125
1584375611.3332238,588718,1447.451416015625
1584375741.352577,602271,1834.680908203125
1584375881.7726626,616872,1799.8721923828125
1584376002.6254606,628560,1888.6036376953125
1584376139.254716,642339,1943.9207763671875
1584376266.1520345,654995,2183.887939453125
1584376382.4985433,666713,2204.312744140625
1584376506.0319316,678896,1921.398193359375
1584376638.6864765,690678,2184.703369140625
1584376781.7778714,704972,1834.10009765625
1584376921.0506957,719002,2140.295654296875
1584377044.9873042,731351,2324.7021484375
1584377172.6095967,744192,2290.874267578125
1584377328.3363392,758451,2219.523681640625
1584377452.798475,771192,2349.76806640625
1584377568.8713746,783061,2554.430908203125
1584377684.5309684,794743,2427.85546875
1584377816.3818133,808476,2406.024658203125
1584377979.280659,821057,2759.2861328125
1584378110.6883495,834070,2633.955078125
1584378239.2230556,846745,2519.583984375
1584378379.3789847,860702,2359.34716796875
1584378525.0627944,875263,2451.854736328125
1584378681.902076,888719,2230.62158203125
1584378833.422673,903941,2524.767333984375
1584378949.915678,915856,2563.639892578125
1584379071.6902933,928762,2452.461181640625
1584379196.5149972,942146,2623.65087890625
1584379359.4448407,956593,2887.684326171875
1584379478.3452659,969188,2927.28857421875
1584379610.433875,982898,2941.969482421875
1584379726.8512747,995004,2793.89111328125
1584379864.128779,1009090,2615.478271484375
1584379992.6718385,1020349,2718.3271484375
1584380134.8266861,1034477,2925.463134765625
1584380260.7481017,1046966,3022.41064453125
1584380365.7393763,1057467,2957.132568359375
1584380496.2549875,1070460,2996.01708984375
1584380651.569529,1082327,2978.70458984375
1584380778.2998688,1094882,2748.93896484375
1584380913.9252405,1108252,3032.85595703125
1584381034.7947984,1120260,3181.499755859375
1584381176.2596886,1134285,2667.17236328125
1584381339.2111137,1146789,2897.03125
1584381466.5727756,1159567,2722.169921875
1584381594.9963279,1172611,2800.737060546875
1584381715.037746,1184861,2568.271240234375
1584381848.049462,1198275,2491.56640625
1584382008.3131852,1210659,2507.318359375
1584382153.4759374,1225657,2665.0
1584382271.5258443,1238126,2425.328369140625
1584382398.463862,1251012,2102.489013671875
1584382515.0728693,1262625,2238.41748046875
