Wall time,Step,Value
1585666623.1525822,1043,1.0553412437438965
1585666754.3285685,11339,38.03633117675781
1585666899.4413831,22362,139.51548767089844
1585667043.141952,33271,225.27915954589844
1585667192.6789668,44557,257.61932373046875
1585667352.44698,56742,593.2763671875
1585667501.655572,67970,583.462158203125
1585667675.9189186,81180,1013.9663696289062
1585667854.5719047,94963,1494.5426025390625
1585668015.7470496,107620,1651.4625244140625
1585668188.8517163,120448,1972.2449951171875
1585668361.9264185,133168,2437.99609375
1585668519.2955441,144670,2706.472412109375
1585668674.2281582,155999,2512.723388671875
1585668819.8649755,166624,2806.4501953125
1585668961.180101,176881,2984.352783203125
1585669095.4539845,186881,3243.47509765625
1585669251.0684962,198561,3377.120361328125
1585669387.2442706,208813,3380.751953125
1585669564.226759,222222,3501.17138671875
1585669713.7885294,234136,3475.465576171875
1585669856.8085694,245575,3615.398193359375
1585670001.7768586,256957,3566.016845703125
1585670132.8533084,267482,3648.048828125
1585670265.1283894,277938,3743.859375
1585670395.1420126,288065,3816.888427734375
1585670521.8222277,298065,3835.4853515625
1585670657.9464002,308753,3799.42138671875
1585670793.2474983,319480,3849.335205078125
1585670918.8436947,329480,3894.487548828125
1585671046.6107843,339589,3889.722412109375
1585671177.8834536,349747,3947.54150390625
1585671305.9926915,359747,3883.941650390625
1585671433.173791,369747,3920.78466796875
1585671559.4058352,379747,3925.88330078125
1585671687.8368766,389984,4005.220947265625
1585671814.9181511,399984,4048.159912109375
1585671943.873907,410221,4004.51416015625
1585672071.4651084,420405,4004.0908203125
1585672199.615395,430405,4030.51513671875
1585672339.1974194,441469,4072.850830078125
1585672466.6233141,451469,4070.3603515625
1585672594.3903818,461614,4116.76123046875
1585672720.8849561,471614,4127.71142578125
1585672857.4717832,482416,4116.11279296875
1585672984.0192337,492416,4125.9326171875
1585673117.094005,502856,4140.48779296875
1585673250.065477,513267,4120.19677734375
1585673381.1399322,523657,4135.68212890625
1585673507.5743334,533657,4156.00048828125
1585673643.9873254,544493,4190.873046875
1585673774.0793242,554640,4161.7470703125
1585673902.1745062,564753,4170.8564453125
1585674027.3753884,574753,4152.2841796875
1585674176.5383055,586487,4110.263671875
1585674310.9114292,597082,4164.76123046875
1585674437.601693,607082,4129.08740234375
1585674564.526637,617082,4147.0419921875
1585674694.7787418,627283,4192.0947265625
1585674822.8335097,637370,4166.31396484375
1585674949.7096548,647370,4192.3818359375
1585675088.1009674,658283,4191.90771484375
1585675218.8275487,668467,4156.2841796875
1585675346.725779,678467,4221.7158203125
1585675473.5224936,688467,4258.3916015625
1585675604.1742058,698617,4271.55810546875
1585675732.5518591,708734,4286.32470703125
1585675862.590268,718823,4263.6279296875
1585675990.9227436,728914,4263.53564453125
1585676119.3485978,739008,4251.9453125
1585676247.6788356,749099,4294.19189453125
1585676373.9423323,759192,4293.5947265625
1585676502.7675073,769280,4303.22412109375
1585676633.2304304,779470,4287.482421875
1585676765.1517909,789899,4336.193359375
1585676901.228331,800614,4321.1708984375
1585677029.3503358,810614,4310.92333984375
1585677156.926797,820614,4312.0166015625
1585677285.369798,830614,4305.0751953125
1585677415.1879294,840747,4337.8212890625
1585677544.277985,850933,4310.29833984375
1585677671.7850103,860933,4315.9189453125
1585677799.1442964,870933,4310.19970703125
1585677926.7210486,880966,4268.47216796875
1585678055.095957,890966,4317.3134765625
1585678182.740208,900966,4356.98583984375
1585678310.1221826,910966,4332.4111328125
1585678438.722375,920966,4352.35595703125
1585678579.1361415,931930,4376.01708984375
1585678706.5661411,941930,4397.177734375
1585678834.3953621,952007,4383.142578125
1585678964.1044192,962105,4370.25439453125
1585679090.3195608,972105,4409.81787109375
1585679216.1983724,982105,4437.5234375
1585679349.5569515,992628,4430.1064453125
1585679480.0445545,1002961,4429.61376953125
1585679617.2252042,1013918,4410.05322265625
1585679746.7819982,1024070,4445.16455078125
1585679873.276492,1034070,4473.6943359375
1585680001.9420764,1044070,4434.9501953125
1585680136.6986654,1054682,3090.9375
