Wall time,Step,Value
1587569089.3100371,1000,-1243.55126953125
1587569134.4461093,21000,-1087.540771484375
1587569178.6064355,41000,-959.6299438476562
1587569225.536596,61000,-848.3572998046875
1587569272.7784371,81000,-791.6726684570312
1587569319.0912998,101000,-725.1359252929688
1587569366.5758247,121000,-673.185791015625
1587569411.5662272,141000,-675.0413208007812
1587569457.9124131,161000,-547.3202514648438
1587569503.4046535,181000,-461.0827331542969
1587569550.1594133,201000,-281.31549072265625
1587569596.5513263,221000,-143.66287231445312
1587569643.3998253,241000,6.724800109863281
1587569691.6750882,261000,97.11965942382812
1587569738.4057195,281000,95.16268157958984
1587569783.907193,301000,223.57998657226562
1587569829.5542805,321000,376.8985900878906
1587569876.1776772,341000,442.73516845703125
1587569921.58838,361000,389.3200378417969
1587569967.1232314,381000,522.47900390625
1587570011.1361191,401000,389.24017333984375
1587570055.5593336,421000,563.3690185546875
1587570101.5930133,441000,628.1273193359375
1587570149.3413754,461000,602.1627807617188
1587570196.3823001,481000,510.5381774902344
1587570243.6025908,501000,601.0926513671875
1587570289.497043,521000,663.548095703125
1587570335.4241061,541000,648.8798828125
1587570383.614508,561000,743.9747314453125
1587570430.8632333,581000,762.2627563476562
1587570478.6453185,601000,816.0907592773438
1587570527.1010528,621000,867.7236938476562
1587570573.1208665,641000,891.1806640625
1587570618.2380958,661000,908.9266357421875
1587570665.0717342,681000,926.759765625
1587570713.0267203,701000,916.0013427734375
1587570759.4576533,721000,910.8050537109375
1587570804.4541836,741000,877.5713500976562
1587570850.5258536,761000,652.1016235351562
1587570898.7490606,781000,850.3432006835938
1587570945.5568957,801000,842.1068115234375
1587570991.149713,821000,924.6353759765625
1587571038.0522494,841000,941.3634033203125
1587571086.2332585,861000,994.0209350585938
1587571130.0022144,881000,1037.289794921875
1587571175.7252922,901000,1018.7239379882812
1587571222.820899,921000,1074.2459716796875
1587571269.4192448,941000,963.869873046875
1587571315.8327208,961000,1092.4849853515625
1587571360.3499985,981000,1053.8145751953125
1587571406.6763842,1001000,1141.44287109375
1587571412.16649,1001000,1141.44287109375
