Wall time,Step,Value
1587577075.4113057,2000,-1213.136474609375
1587577170.3159745,42000,-789.986572265625
1587577269.5615203,82000,-444.3079528808594
1587577369.4073932,122000,-151.93055725097656
1587577466.9512446,162000,156.1934814453125
1587577566.464052,202000,375.897705078125
1587577665.6101668,242000,580.4790649414062
1587577764.8727832,282000,676.7412109375
1587577864.6033828,322000,773.7115478515625
1587577962.3345447,362000,902.392333984375
1587578056.5477269,402000,906.4661254882812
1587578153.7944002,442000,1008.4551391601562
1587578249.0918036,482000,1050.364013671875
1587578348.2156787,522000,1114.0137939453125
1587578447.0128427,562000,1137.5023193359375
1587578545.3831577,602000,952.5289306640625
1587578642.7831874,642000,968.2739868164062
1587578744.1091251,682000,703.9572143554688
1587578842.8636043,722000,988.6358032226562
1587578943.2637615,762000,1015.2825927734375
1587579038.6991642,802000,1244.865966796875
1587579138.3175626,842000,556.0316162109375
1587579236.0449748,882000,-222.55027770996094
1587579337.1420443,922000,-287.6661376953125
1587579438.2742925,962000,-253.22213745117188
1587579536.115107,1002000,632.5771484375
1587579541.2671244,1002000,632.5771484375
