Wall time,Step,Value
1588061947.9438024,2008,13.016767501831055
1588062073.7281787,43065,213.0833740234375
1588062192.9062777,84402,366.8140869140625
1588062348.6282856,127287,716.61474609375
1588062511.5578742,171664,1173.79736328125
1588062667.3084533,216381,1315.3941650390625
1588062827.1067624,262694,1576.343505859375
1588062998.2107968,310796,1700.2313232421875
1588063167.2581248,357435,1544.949462890625
1588063317.7773778,401452,1596.0858154296875
1588063472.0459473,447742,1942.387939453125
1588063612.9176729,491724,1558.9676513671875
1588063754.0597947,536825,1497.057373046875
1588063892.164072,581436,1520.0400390625
1588064035.18746,626044,1365.70947265625
1588064161.2940295,670002,1290.1016845703125
1588064286.465908,713340,1109.9459228515625
1588064372.1534464,756795,1147.134521484375
1588064426.6715224,800091,1293.6126708984375
1588064491.0904555,845968,1727.5660400390625
1588064550.1906843,892366,2176.5556640625
1588064602.9349868,940408,2423.89111328125
1588064643.6143682,987692,2005.5418701171875
1588064655.659341,1000862,1917.71875
