Wall time,Step,Value
1588061956.5856755,2004,14.955177307128906
1588062085.0472353,43066,238.76515197753906
1588062232.1875474,84797,463.0917053222656
1588062381.3832793,127432,763.676025390625
1588062546.2212133,171876,1337.3128662109375
1588062711.5840733,218802,1675.0938720703125
1588062882.8161337,264875,2057.480712890625
1588063049.0102737,313109,2195.64453125
1588063199.9065616,359635,2341.6767578125
1588063340.0644221,406821,2385.790283203125
1588063483.9809191,452975,3024.628173828125
1588063636.4714592,500751,2961.754638671875
1588063776.6567197,550163,2905.666259765625
1588063892.4603295,598897,2687.948486328125
1588064008.368299,643451,3224.361572265625
1588064103.266397,686473,3320.587646484375
1588064207.7863708,729288,3329.3193359375
1588064305.0947886,770226,3395.60009765625
1588064368.2109222,810226,3384.13134765625
1588064417.2801127,851584,3319.91845703125
1588064462.0122466,894268,3313.575927734375
1588064505.3487978,939740,3334.267578125
1588064551.0007935,985510,2857.95166015625
1588064569.348574,1002277,2856.665283203125
