Wall time,Step,Value
1584744683.7524495,0,175.2115020751953
1584744725.90961,20,971.0902099609375
1584744781.6045208,40,910.9522705078125
1584744834.1105034,60,802.4732666015625
1584744874.1824746,80,733.7008056640625
1584744919.4776442,100,691.3397216796875
1584744967.3582363,120,622.3787231445312
1584745027.2021735,140,292.24847412109375
1584745075.6147044,160,412.8746643066406
1584745131.5754664,180,309.8978576660156
1584745184.2194726,200,199.4194793701172
1584745237.0429657,220,85.15863800048828
1584745278.538676,240,47.60242462158203
1584745309.922769,260,1.8379791975021362
1584745340.5476372,280,-12.109726905822754
1584745375.497922,300,-3.8264193534851074
1584745394.792235,320,-46.830684661865234
1584745415.5362098,340,-59.49264907836914
1584745442.5044491,360,-72.5416259765625
1584745461.4935496,380,-8.490283012390137
1584745489.8091495,400,-82.7127685546875
1584745503.2296028,420,-15.607474327087402
1584745530.514938,440,-4.231503009796143
1584745565.2175179,460,-6.732525825500488
1584745589.121434,480,-10.793045043945312
1584745603.0256717,500,-5.379514694213867
1584745619.9407232,520,-15.093879699707031
1584745643.001823,540,-56.37904357910156
1584745659.4701233,560,-8.025191307067871
1584745687.4610062,580,-148.48611450195312
1584745717.3905792,600,-156.07034301757812
1584745741.1923835,620,-17.67905044555664
1584745764.7053926,640,-5.417896270751953
1584745781.1820772,660,-9.731353759765625
1584745796.8047829,680,-115.94142150878906
1584745815.9304793,700,-10.917526245117188
1584745834.2128794,720,-37.00503921508789
1584745857.2511148,740,-42.3907356262207
1584745890.6850064,760,-15.947218894958496
1584745905.814742,780,-37.711585998535156
1584745928.9589446,800,-12.8573579788208
1584745948.1730084,820,-10.9331636428833
1584745976.4501274,840,-53.91640853881836
1584746002.46977,860,-318.42938232421875
1584746022.284482,880,-16.390451431274414
1584746038.9014401,900,-32.855403900146484
1584746055.8993883,920,-333.3868103027344
1584746062.7763476,928,-30.517635345458984
