Wall time,Step,Value
1584751040.9291432,0,206.23826599121094
1584751079.6328871,20,996.0872802734375
1584751118.3947525,40,964.0933227539062
1584751170.134172,60,128.03225708007812
1584751214.976685,80,858.3287353515625
1584751262.8885198,100,819.7861328125
1584751312.929636,120,757.9014892578125
1584751366.3920274,140,715.7657470703125
1584751407.8910856,160,671.15234375
1584751456.7078178,180,626.2752075195312
1584751514.106428,200,604.4667358398438
1584751560.2620225,220,590.5266723632812
1584751598.5553162,240,62.57786178588867
1584751661.1540637,260,511.06549072265625
1584751711.6981056,280,471.4111328125
1584751761.891069,300,41.169471740722656
1584751808.9762034,320,17.032737731933594
1584751851.1756167,340,160.2782745361328
1584751894.049755,360,31.74827766418457
1584751938.8406131,380,312.11224365234375
1584751988.8203142,400,55.42299270629883
1584752032.0763428,420,178.80490112304688
1584752077.5724452,440,63.382896423339844
1584752111.8084729,460,51.737030029296875
1584752150.9757924,480,-7.793306827545166
1584752182.525758,500,-19.10750961303711
1584752208.8553557,520,-60.63002014160156
1584752237.6420493,540,-40.747806549072266
1584752262.0661933,560,-7.262084007263184
1584752285.479219,580,-85.3338851928711
1584752307.3352296,600,-150.53912353515625
1584752330.2206857,620,-58.941375732421875
1584752354.1761332,640,-99.70419311523438
1584752371.380562,660,-22.7896728515625
1584752388.4511597,680,-11.222224235534668
1584752410.769717,700,-94.4543685913086
1584752427.26363,720,-16.658185958862305
1584752449.696218,740,-21.01986312866211
1584752479.7046692,760,-60.269744873046875
1584752500.4342911,780,-6.8558244705200195
1584752536.873866,800,-71.93574523925781
1584752557.1191964,820,-162.3654022216797
1584752578.7317362,840,-6.855512619018555
1584752585.5100536,851,-9.233389854431152
