Wall time,Step,Value
1584785083.6556368,0,402.3153991699219
1584785130.3671975,20,991.0842895507812
1584785168.6235535,40,136.1796112060547
1584785213.1936655,60,952.8363647460938
1584785252.119468,80,924.3842163085938
1584785304.6776927,100,869.792236328125
1584785361.4598894,120,855.9816284179688
1584785404.8234417,140,102.46598815917969
1584785459.9964347,160,839.1295166015625
1584785510.9805596,180,838.5423583984375
1584785557.1069393,200,818.0082397460938
1584785605.458761,220,73.5688705444336
1584785661.1859984,240,97.63328552246094
1584785719.1628988,260,386.0989074707031
1584785774.0782123,280,788.5013427734375
1584785824.5984402,300,786.7501831054688
1584785871.8135066,320,755.5433959960938
1584785918.074843,340,735.32568359375
1584785965.8164024,360,702.9169921875
1584786018.0888371,380,712.193115234375
1584786069.8219166,400,351.74945068359375
1584786126.837094,420,673.0135498046875
1584786177.5965352,440,665.3651733398438
1584786223.339172,460,648.5157470703125
1584786284.892637,480,493.6341247558594
1584786328.8271394,500,694.8338012695312
1584786364.40574,520,166.117919921875
1584786413.7474782,540,632.9747314453125
1584786450.5162978,560,314.588623046875
1584786498.3815553,580,110.2030258178711
1584786549.8010223,600,669.595947265625
1584786608.1725676,620,337.2049560546875
1584786667.2053144,640,694.920654296875
1584786715.5173504,660,717.0114135742188
1584786765.9416127,680,360.52264404296875
1584786812.8426933,700,717.0208129882812
1584786867.7103992,720,63.802494049072266
1584786923.485419,740,728.0365600585938
1584786981.3730714,760,744.5764770507812
1584787039.0303638,780,776.435302734375
1584787098.285129,800,782.1138305664062
1584787149.897785,818,805.1482543945312
