Wall time,Step,Value
1584749761.456712,1010,10.739276885986328
1584749798.5454597,21638,122.99983978271484
1584749849.4046164,42740,185.32223510742188
1584749886.624782,63727,278.9626159667969
1584749932.0921903,84848,335.1097106933594
1584749982.8699088,105976,414.3733215332031
1584750024.3499076,127736,531.6256103515625
1584750071.052055,151195,865.9024047851562
1584750123.61597,178244,1318.692138671875
1584750160.1622488,202143,1245.7432861328125
1584750209.0630891,226464,1604.0277099609375
1584750262.9734676,252909,1471.007080078125
1584750309.840835,277959,1561.777099609375
1584750347.3409638,303288,1694.80712890625
1584750382.1346333,327674,1461.64453125
1584750414.2930098,351971,1376.0753173828125
1584750442.6864834,376666,1253.3511962890625
1584750467.0924962,399873,1133.322265625
1584750504.2516174,425697,1375.7880859375
1584750533.0298913,451156,1320.903564453125
1584750558.8527818,475762,1652.9644775390625
1584750585.4274209,500634,1579.8919677734375
1584750611.9128387,525091,1266.9100341796875
1584750644.1018639,553816,1742.5234375
1584750673.1426108,580672,1948.6187744140625
1584750692.5611765,604556,2075.748779296875
1584750716.3978474,629305,1759.1151123046875
1584750743.017331,655715,2244.23779296875
1584750784.9371963,681517,2689.322021484375
1584750807.0792825,707033,2429.23876953125
1584750828.1331463,733244,2533.38232421875
1584750851.54073,757825,2768.86572265625
1584750866.3778667,782014,1671.733154296875
1584750891.8175702,804046,591.251220703125
1584750910.623163,826100,409.74420166015625
1584750923.1366334,847179,432.0900573730469
1584750938.4875023,869026,629.2640380859375
1584750959.27137,891950,900.677001953125
1584750976.0615313,916021,1156.877197265625
1584750990.7620523,939161,980.7463989257812
1584751017.2030635,963506,1011.6099243164062
1584751030.9888034,986843,951.5259399414062
1584751040.082895,1000367,933.6874389648438
