Wall time,Step,Value
1584721304.4460492,1010,8.06054973602295
1584721342.7777042,21644,139.26596069335938
1584721387.6900678,42943,278.6474609375
1584721431.3889098,65222,415.455078125
1584721476.2037644,87691,481.9880065917969
1584721516.9625742,110833,592.975341796875
1584721558.461835,133924,829.98291015625
1584721603.0527346,158241,975.3001708984375
1584721653.1349185,184249,1623.719970703125
1584721722.8673596,212797,1956.0693359375
1584721769.8338673,237512,2069.8466796875
1584721808.4764087,259238,2532.778076171875
1584721866.985203,282618,2694.857666015625
1584721919.937056,309216,2307.74072265625
1584721974.1024778,335399,2516.858154296875
1584722026.7160854,361868,2176.921875
1584722068.6577616,387522,2538.281005859375
1584722116.955816,414136,2730.348388671875
1584722158.213061,437509,2680.866943359375
1584722207.5032942,463495,2524.16455078125
1584722258.2376366,490405,2619.88818359375
1584722298.247492,516498,2387.729248046875
1584722334.3316019,540192,2614.59619140625
1584722383.776545,563547,2566.16796875
1584722412.7196698,586608,2117.468505859375
1584722453.6579578,611108,2206.23388671875
1584722491.088228,634748,2511.825439453125
1584722536.3863268,659777,2393.84619140625
1584722578.5091674,685301,2235.9150390625
1584722623.7563412,711927,2625.251220703125
1584722669.981683,738120,2619.061767578125
1584722718.0900357,765191,2334.875244140625
1584722762.3572104,791612,2587.62060546875
1584722806.2097106,815062,2791.6796875
1584722838.688902,840548,2265.31640625
1584722876.7008815,866911,2228.450927734375
1584722922.262598,895889,2596.0205078125
1584722947.6563337,918660,2612.6328125
1584722997.478214,940983,2752.62255859375
1584723027.217345,961253,2951.867919921875
1584723055.3404098,981253,3049.76220703125
1584723072.7592268,1000800,2978.42626953125
