Wall time,Step,Value
1584757437.2543838,1008,23.4272518157959
1584757479.4988728,21643,116.23480987548828
1584757524.9779072,42608,168.42059326171875
1584757571.6699145,63509,197.83030700683594
1584757619.5892267,84615,226.26211547851562
1584757663.719026,105835,301.64166259765625
1584757707.5900667,127297,400.8701477050781
1584757762.8433988,149880,538.914794921875
1584757804.6911378,171501,601.977783203125
1584757845.6201832,194760,719.7340087890625
1584757900.649936,219499,912.5052490234375
1584757954.9244788,243145,928.2763061523438
1584758019.6755996,269044,1133.109375
1584758064.6695457,293266,1590.3770751953125
1584758142.9643998,322989,1891.38037109375
1584758179.539929,348468,1414.7310791015625
1584758224.2265663,372505,1224.146240234375
1584758257.2703264,396247,1408.0555419921875
1584758304.4516146,420502,2137.87646484375
1584758338.7696788,445451,1309.8779296875
1584758397.325866,471828,1675.8748779296875
1584758431.6580293,496728,1995.7874755859375
1584758470.2548575,521137,1715.791015625
1584758505.4482381,545016,1322.5345458984375
1584758538.1482284,569124,1486.4281005859375
1584758580.2747123,594891,1985.7193603515625
1584758612.6055048,622367,1732.3388671875
1584758646.2446246,647523,1638.8055419921875
1584758676.1811802,673434,1564.843994140625
1584758715.4302008,698234,1170.0748291015625
1584758737.9307964,722183,1243.7362060546875
1584758770.7742248,748444,1701.46240234375
1584758799.0304866,775296,1673.704833984375
1584758826.5074422,801238,1762.2818603515625
1584758852.1145678,827429,2178.558349609375
1584758893.6593235,853283,2062.049072265625
1584758924.1928947,880852,1597.7415771484375
1584758951.116846,904739,1647.91015625
1584758978.1882715,929892,1788.9237060546875
1584759011.645527,955695,1907.6751708984375
1584759034.0967257,980531,1763.6519775390625
1584759049.4943302,1000416,1362.1483154296875
