Wall time,Step,Value
1584793146.2068994,1005,14.226452827453613
1584793189.3690913,21711,116.49065399169922
1584793237.4498777,42746,191.75796508789062
1584793279.484998,63926,239.03724670410156
1584793326.4973338,85181,283.6217956542969
1584793378.4635575,106946,328.8746032714844
1584793426.8567228,129175,407.3547058105469
1584793473.8964708,151004,476.0985412597656
1584793527.6857388,173916,519.4304809570312
1584793575.9407291,196107,541.1898193359375
1584793619.9455795,218230,602.2548828125
1584793663.356476,240397,568.43310546875
1584793705.3202534,262929,649.6615600585938
1584793756.8589246,287077,766.1069946289062
1584793808.0145433,311729,879.8980712890625
1584793857.8438034,334982,959.939453125
1584793920.4577882,359035,1055.6949462890625
1584793967.1633644,382853,951.5914306640625
1584794023.5915864,408591,1174.0078125
1584794072.0828652,433526,980.3787231445312
1584794127.811639,457530,949.7078247070312
1584794182.0207396,480530,1174.8837890625
1584794221.3293693,503703,1062.552001953125
1584794269.1118848,529058,1074.3927001953125
1584794337.5443957,553812,1171.78271484375
1584794394.7153034,578184,1100.0518798828125
1584794444.3257864,604201,1354.628662109375
1584794499.3994823,631101,1527.369140625
1584794552.6646974,657012,1585.855712890625
1584794604.0884027,682801,1563.3690185546875
1584794648.837777,707984,1239.8519287109375
1584794699.4460137,733313,1001.1568603515625
1584794747.3794563,758559,1090.5966796875
1584794788.500748,782346,1450.012451171875
1584794840.599687,808823,1443.2210693359375
1584794901.232775,833812,1597.243896484375
1584794961.1329553,861600,1640.0469970703125
1584795013.0433164,886664,1936.979248046875
1584795054.1240356,908721,1582.6192626953125
1584795108.7483342,934221,1307.6483154296875
1584795160.9403834,958600,1381.768798828125
1584795218.6833751,983692,1439.35986328125
1584795254.0668426,1000791,1077.65771484375
