Wall time,Step,Value
1584771086.5217614,1003,23.92513656616211
1584771124.9447625,21766,131.09881591796875
1584771173.9096591,42878,212.14727783203125
1584771214.871164,64280,308.36151123046875
1584771267.1109192,86955,503.37677001953125
1584771315.5400329,109486,602.6622314453125
1584771363.9055736,132523,676.089599609375
1584771421.0204766,158384,915.80517578125
1584771477.9197283,183874,1104.4774169921875
1584771518.3959086,206912,1060.6650390625
1584771565.6401513,230996,1021.1107788085938
1584771613.5723305,254327,1077.11767578125
1584771672.3173735,279514,1363.8046875
1584771721.464299,303374,1133.14794921875
1584771769.0320625,325963,989.6311645507812
1584771814.0984123,350042,1022.7177124023438
1584771881.1874928,376016,1221.99169921875
1584771926.7041383,399498,1075.400634765625
1584771964.1637914,422785,1326.4027099609375
1584772007.3231454,447865,1366.48583984375
1584772052.4943705,473281,1663.5574951171875
1584772105.7912185,500492,1499.34375
1584772149.0417757,525125,1481.157958984375
1584772188.7650335,551431,1559.4476318359375
1584772224.3124454,576695,1439.9473876953125
1584772270.5160885,601716,1414.0352783203125
1584772313.7747796,625694,1467.98828125
1584772350.2910388,651035,1236.6328125
1584772404.2043595,678082,1550.7918701171875
1584772437.0953515,703137,1534.722412109375
1584772466.3915358,728829,1578.7296142578125
1584772504.0746853,754747,1773.474365234375
1584772541.006169,780705,2180.676025390625
1584772576.2599256,806882,1783.667236328125
1584772607.7312648,832745,1771.3734130859375
1584772635.8163004,858497,1952.1988525390625
1584772651.8960338,882732,1376.1934814453125
1584772679.0779054,907952,1429.3685302734375
1584772710.26073,933323,1459.186767578125
1584772728.0463395,958981,1854.0787353515625
1584772769.5567982,986197,1913.5792236328125
1584772784.172017,1000443,1900.7847900390625
