Wall time,Step,Value
1584760710.4412122,1001,14.107815742492676
1584760757.4862888,21729,109.71117401123047
1584760797.7249343,42653,199.67376708984375
1584760840.3288038,63892,282.0337829589844
1584760881.4217591,85226,321.5614013671875
1584760930.1615453,106525,331.6290283203125
1584760971.8722703,127901,360.98016357421875
1584761016.2408726,149776,477.53155517578125
1584761060.8601978,171911,488.457275390625
1584761104.7659755,194450,674.0960083007812
1584761153.1870785,217966,891.6422729492188
1584761199.4061856,240847,873.3168334960938
1584761244.3355124,265038,1115.7667236328125
1584761294.596997,288292,1200.12646484375
1584761346.6782327,314169,1373.09130859375
1584761385.5419097,339235,1722.41357421875
1584761440.5933645,366163,1778.6915283203125
1584761477.5377882,389380,1629.9083251953125
1584761533.955236,417391,1921.543212890625
1584761594.3977118,443197,2058.18212890625
1584761648.8855703,470298,1786.6715087890625
1584761708.6336353,497798,2184.517822265625
1584761761.838061,523808,2078.38671875
1584761818.9774892,550449,2079.476806640625
1584761857.3776,575602,2019.7069091796875
1584761900.702877,600521,2143.8251953125
1584761956.4941308,626122,2008.3394775390625
1584762019.4462137,652175,2098.88037109375
1584762077.8726342,677550,2531.48779296875
1584762109.7406383,701769,2203.51318359375
1584762147.880644,726054,2097.817626953125
1584762209.4231699,752245,2568.034423828125
1584762248.605899,775670,2636.78466796875
1584762281.216282,800061,2599.6162109375
1584762310.8596823,824502,2679.955810546875
1584762355.8589041,848471,2713.447998046875
1584762392.9826255,870089,2836.77001953125
1584762425.8908057,892009,2725.809814453125
1584762467.7112076,917227,2224.82763671875
1584762509.1365135,939469,2570.64306640625
1584762534.638008,962810,1724.1019287109375
1584762580.9925053,986891,1916.7645263671875
1584762604.4887106,1000499,1941.5648193359375
