Wall time,Step,Value
1584747322.4575262,1005,15.270240783691406
1584747371.4149642,21728,127.5589599609375
1584747420.2939851,42501,177.93630981445312
1584747462.1721175,63616,213.2152099609375
1584747499.8584917,84720,259.6060485839844
1584747540.2352445,105881,302.65478515625
1584747583.674382,127132,314.1962890625
1584747630.309782,148565,330.87469482421875
1584747681.683109,170571,361.48919677734375
1584747730.6592991,192638,389.6722717285156
1584747763.6821332,214844,396.9942626953125
1584747806.036407,237175,404.02239990234375
1584747834.1375065,258544,419.7375183105469
1584747884.6411932,280242,438.54718017578125
1584747909.8760593,301991,477.8396301269531
1584747932.9209516,323534,597.3712768554688
1584747959.5659406,345304,557.1378173828125
1584747988.7053246,367259,588.6340942382812
1584748014.7767696,389282,496.22039794921875
1584748042.5333452,411661,560.182373046875
1584748061.2038362,433026,546.4281005859375
1584748080.7635477,455313,566.46435546875
1584748093.9802988,476827,533.521728515625
1584748111.3646615,498318,549.181396484375
1584748130.3375432,520194,560.92041015625
1584748150.4164364,542033,563.0096435546875
1584748175.776227,564354,577.2914428710938
1584748206.2745287,587461,700.6936645507812
1584748233.1959362,610943,697.3519287109375
1584748248.689132,632905,667.5947875976562
1584748267.1227787,655106,656.5516357421875
1584748279.0247207,676361,631.6737670898438
1584748298.8689823,698463,603.2994384765625
1584748318.407775,721039,595.79052734375
1584748333.516957,742422,338.6007385253906
1584748353.510609,763991,406.0157470703125
1584748371.3506644,785523,599.3408813476562
1584748385.9551454,807139,625.8969116210938
1584748402.7002344,828302,614.0516357421875
1584748416.1928434,849692,619.3311767578125
1584748435.5524924,871326,626.6056518554688
1584748451.7400413,893339,640.18505859375
1584748476.7453809,916035,663.2735595703125
1584748502.4975257,939126,688.4573364257812
1584748515.6976047,961595,678.3568115234375
1584748532.9325275,984926,689.0004272460938
1584748542.516836,1000098,691.9364013671875
