Wall time,Step,Value
1584738188.2888389,1018,9.65190315246582
1584738225.8177245,21778,121.98745727539062
1584738265.363189,42790,209.01046752929688
1584738305.23343,64262,279.4642333984375
1584738358.9487708,86224,350.7441101074219
1584738410.3001645,110121,600.7122192382812
1584738459.9851537,133697,1110.8646240234375
1584738519.7850204,156803,1142.2547607421875
1584738569.5154762,181021,1016.1116333007812
1584738624.0736122,205565,1154.1390380859375
1584738684.0826337,231377,1547.4598388671875
1584738727.3496344,255517,1352.15234375
1584738771.072512,281440,1327.759033203125
1584738824.1116111,305462,1489.8941650390625
1584738867.1559246,328135,2511.58203125
1584738909.0715842,352978,2048.08349609375
1584738961.6358361,380505,1785.3828125
1584739010.6216078,406556,1508.793701171875
1584739054.632189,430732,1567.4193115234375
1584739103.0284886,455475,1777.8001708984375
1584739157.5435812,482552,1940.0548095703125
1584739219.2390475,510700,1985.42138671875
1584739275.2297082,537030,2048.338623046875
1584739308.5957277,559093,2605.184326171875
1584739341.3557472,583309,2941.703857421875
1584739367.0067935,604394,3003.2802734375
1584739392.7035363,627434,2519.68603515625
1584739423.5804071,650714,2518.16455078125
1584739456.1136122,671793,2816.235107421875
1584739496.8830037,697040,2935.7158203125
1584739543.7290113,723003,2641.200927734375
1584739577.1400025,748273,2424.56884765625
1584739621.848557,775657,2480.12744140625
1584739652.2675102,801198,2189.968505859375
1584739684.9610589,826425,1901.932373046875
1584739717.9406366,851975,1763.615234375
1584739741.8644288,877566,1657.276611328125
1584739777.3072433,904673,2039.5123291015625
1584739813.7714074,932114,2470.784912109375
1584739856.1804278,959186,2615.02880859375
1584739890.8149936,987004,2659.00732421875
1584739902.9532256,1000555,2473.401123046875
