Wall time,Step,Value
1584723073.6999285,1026,7.895308971405029
1584723111.1068377,21776,110.37505340576172
1584723155.914074,42864,177.04566955566406
1584723198.4202378,64283,254.941162109375
1584723237.3098087,85275,285.20977783203125
1584723288.3185616,106913,301.8893127441406
1584723324.715967,128534,334.14715576171875
1584723363.5199256,151445,613.2501220703125
1584723414.0713177,175029,855.3321533203125
1584723469.5091147,199479,1249.5814208984375
1584723518.4840412,223192,1325.6695556640625
1584723569.1350431,247657,1404.856201171875
1584723618.9287453,271461,1730.6805419921875
1584723667.2397656,294693,1941.8369140625
1584723731.2995694,320659,2173.4130859375
1584723788.3864417,347388,1841.46728515625
1584723834.589172,371666,2208.10791015625
1584723877.513131,394643,2294.486083984375
1584723924.6008468,418396,2104.775634765625
1584723972.627784,443526,1822.0255126953125
1584724006.700512,469228,1920.8853759765625
1584724051.222676,492219,1664.583984375
1584724109.7253063,519100,2016.31689453125
1584724150.1046653,542941,2091.294189453125
1584724187.2188344,567386,1255.425048828125
1584724231.4018388,592677,1533.1031494140625
1584724269.8127751,619145,1739.468505859375
1584724300.9262311,644812,1952.30810546875
1584724352.8543963,672014,1991.176513671875
1584724396.5576675,700888,2451.914794921875
1584724418.1140926,722274,2632.0546875
1584724455.235608,742897,2708.290771484375
1584724490.845459,765819,2862.87841796875
1584724523.545265,790617,1058.1722412109375
1584724562.3988357,815543,1595.14013671875
1584724592.4896235,837259,2178.926513671875
1584724622.0838068,859008,2327.244873046875
1584724646.80045,884105,1765.045654296875
1584724680.3610616,910674,2031.303466796875
1584724703.7000015,935607,1615.23779296875
1584724732.8125532,960426,1283.9276123046875
1584724763.774437,985024,1057.9241943359375
1584724796.6476228,1000574,1198.7432861328125
