Wall time,Step,Value
1584785083.6322744,1007,17.085952758789062
1584785130.3416452,22099,154.22003173828125
1584785168.5958564,43047,221.24957275390625
1584785213.1639416,64428,289.7554931640625
1584785252.0861902,85850,337.60174560546875
1584785304.6179302,107896,478.0156555175781
1584785361.4094288,130669,650.1654663085938
1584785404.7959297,153327,697.0579833984375
1584785459.9674459,178328,825.446044921875
1584785510.917612,201241,1094.030517578125
1584785557.0528622,224287,880.4244384765625
1584785605.421321,248529,945.1456909179688
1584785661.1306133,271620,976.1865844726562
1584785719.1143386,296090,1389.7623291015625
1584785774.0311122,320336,1356.1456298828125
1584785824.5697443,344840,1237.8443603515625
1584785871.781611,368433,1100.5594482421875
1584785918.0438173,391953,894.0188598632812
1584785965.7873793,415746,1186.2381591796875
1584786018.0425677,439984,1359.294189453125
1584786069.7939286,463972,1717.9842529296875
1584786126.7804785,489627,1428.5462646484375
1584786177.567699,514285,1166.1566162109375
1584786223.2905362,540651,1438.532470703125
1584786284.8645113,567539,1766.7489013671875
1584786328.7983723,592864,1262.0699462890625
1584786364.378589,615602,1030.263916015625
1584786413.718571,640056,1601.04150390625
1584786450.4889724,664614,2128.481201171875
1584786498.3527508,690283,1752.901611328125
1584786549.7422235,716906,1267.856689453125
1584786608.1197457,742948,1616.212158203125
1584786667.1749957,769805,1902.209716796875
1584786715.4842522,795150,1795.9107666015625
1584786765.8951879,822387,1957.056396484375
1584786812.789048,848066,1433.1309814453125
1584786867.6773145,872996,1300.897216796875
1584786923.4383287,899865,1577.4952392578125
1584786981.3240016,925226,1464.630615234375
1584787039.0020826,951443,1943.614501953125
1584787098.255482,977376,1790.7415771484375
1584787149.8711946,1000639,1756.0634765625
