Wall time,Step,Value
1584759050.5426893,1008,10.646439552307129
1584759100.6956081,21614,120.17908477783203
1584759148.154235,42507,175.9881134033203
1584759187.628062,63774,235.99456787109375
1584759222.4506774,85220,312.2467956542969
1584759263.606224,106376,374.0752868652344
1584759309.8580077,129032,558.072021484375
1584759355.79556,152498,753.788330078125
1584759408.0383108,176740,756.1314697265625
1584759454.8599622,199577,778.8787231445312
1584759510.5172374,225657,1232.5401611328125
1584759566.6551607,249741,1256.2093505859375
1584759612.5022113,273979,1405.5836181640625
1584759666.4881554,298360,1682.52734375
1584759738.4515195,325584,1637.87353515625
1584759799.7686367,350333,2217.427001953125
1584759845.3597665,374813,1306.656982421875
1584759889.920684,399095,1052.6182861328125
1584759921.514895,422656,1276.4805908203125
1584759974.4106581,448337,1444.66015625
1584760022.378749,474080,2207.73974609375
1584760066.176707,498938,1379.51416015625
1584760098.3417614,522445,2428.5712890625
1584760137.3339972,546299,2770.5908203125
1584760185.4859138,575801,2431.111328125
1584760230.5513735,601065,2290.738525390625
1584760282.6280553,631186,1908.4461669921875
1584760306.9064314,655256,1151.695556640625
1584760339.190196,678963,1005.6060791015625
1584760380.9463084,705628,1879.72412109375
1584760414.2469509,729744,2716.842041015625
1584760444.7522714,756037,2555.564697265625
1584760486.3738978,781042,2846.85498046875
1584760509.2950983,802471,2892.67529296875
1584760530.217028,823043,2848.092041015625
1584760551.6566048,843043,2934.026123046875
1584760575.9028316,865654,2704.798828125
1584760611.736161,892606,2827.072509765625
1584760639.3666856,918183,2672.6318359375
1584760657.6280951,945720,2269.044677734375
1584760679.1851625,972355,2025.4033203125
1584760703.0756614,997034,1635.5621337890625
1584760708.4777439,1000964,1705.9224853515625
