Wall time,Step,Value
1588084414.1892836,2014,16.97585105895996
1588084457.8629756,42805,195.5353240966797
1588084501.691427,84262,299.5118408203125
1588084551.9474127,126117,376.0395812988281
1588084601.4140644,167420,389.9209899902344
1588084651.9441178,209013,413.00396728515625
1588084698.9284027,250781,478.31817626953125
1588084747.1433063,292216,461.0174865722656
1588084792.9691486,333468,481.9935302734375
1588084840.6504705,375525,559.3834838867188
1588084884.685414,417498,612.8890991210938
1588084934.1012864,459221,626.4393920898438
1588084981.317581,500756,633.1261596679688
1588085028.9028158,542569,647.35205078125
1588085077.627621,585127,754.1190185546875
1588085128.4201515,627178,805.0409545898438
1588085183.850592,671384,971.3011474609375
1588085238.5840127,715782,1172.320068359375
1588085293.714718,760024,1252.738037109375
1588085345.1247733,804322,1456.34912109375
1588085397.9596174,848154,1282.9686279296875
1588085453.1976733,892115,1646.52001953125
1588085511.0756457,939653,1930.11767578125
1588085565.4303408,984982,1795.9744873046875
1588085583.5873075,1001237,1768.228271484375
