Wall time,Step,Value
1588160675.271828,4021,-1.2040174007415771
1588160749.691451,85729,143.5607147216797
1588160826.4046757,167631,262.4219970703125
1588160902.0631177,249221,334.2143859863281
1588160980.0369868,331744,379.6105651855469
1588161057.7506351,415271,525.4635009765625
1588161139.733945,499118,900.2098388671875
1588161222.5105371,585133,1192.5430908203125
1588161304.0899746,671071,1400.50634765625
1588161387.329917,759187,1513.731689453125
1588161468.8820293,844681,1665.388671875
1588161550.839771,932516,1732.057861328125
1588161617.4376717,1003739,1868.6300048828125
