Wall time,Step,Value
1588061951.2302752,2007,13.455799102783203
1588062046.499767,43001,186.75637817382812
1588062144.421194,84156,288.5995788574219
1588062241.333489,125822,355.0387878417969
1588062337.2628078,167119,424.1898498535156
1588062440.4393015,208515,484.3863830566406
1588062546.8609195,250995,584.389404296875
1588062649.897695,293313,724.1058959960938
1588062748.904401,336540,808.6124267578125
1588062846.002264,379278,920.4364624023438
1588062950.6728046,422705,949.6786499023438
1588063060.398627,466080,1024.8824462890625
1588063166.6651247,511263,1257.1016845703125
1588063276.8768418,554671,1226.2760009765625
1588063382.5006905,598665,1332.8551025390625
1588063495.710598,643472,1456.697998046875
1588063608.5443041,689264,1539.748779296875
1588063719.0502448,733834,1454.4486083984375
1588063822.5569654,778462,1405.1888427734375
1588063943.3423882,824580,1811.51123046875
1588064065.9206595,871232,2065.875244140625
1588064187.509235,918867,2648.373291015625
1588064302.8674288,965462,2490.980712890625
1588064370.2572544,1000881,2559.250732421875
