Wall time,Step,Value
1584371032.3874748,2010,-2.1564619541168213
1584371064.482801,43673,126.16923522949219
1584371096.2014642,86876,227.8379669189453
1584371128.7198236,130992,262.5794677734375
1584371163.280678,174489,284.8999328613281
1584371193.7227247,216763,281.46685791015625
1584371226.588622,259771,290.7900085449219
1584371262.3600798,302434,292.1856384277344
1584371299.746597,345411,277.4391174316406
1584371338.3887248,388324,271.8075256347656
1584371369.6317556,431276,269.4872131347656
1584371404.606599,473477,295.0317687988281
1584371434.7817106,514982,299.0610656738281
1584371465.4444292,556436,320.7424621582031
1584371495.9499676,598556,333.7481689453125
1584371528.8785493,641143,330.9397888183594
1584371559.2174132,683372,326.5403747558594
1584371590.9162235,725412,332.96087646484375
1584371626.287743,767132,335.2708740234375
1584371656.972603,808569,313.90203857421875
1584371687.0198476,850048,324.2836608886719
1584371718.507237,892501,315.98773193359375
1584371748.7544107,934877,319.6376647949219
1584371779.6272242,976908,327.3072814941406
1584371801.9114,1001885,320.61236572265625
