Wall time,Step,Value
1584384666.986928,2008,-3.8470165729522705
1584384702.2954724,43512,87.82311248779297
1584384742.7253525,86306,210.39859008789062
1584384776.316649,128814,269.3443603515625
1584384809.9153242,171463,295.95684814453125
1584384844.5573204,213475,313.4419250488281
1584384879.620984,255653,312.19354248046875
1584384914.6819744,298305,343.4391174316406
1584384953.5649452,340621,361.6405029296875
1584384988.119143,382655,379.5102844238281
1584385027.8787968,424493,395.2780456542969
1584385067.5981011,466208,411.0068054199219
1584385104.9906929,508182,432.2403259277344
1584385142.4952762,550438,478.9447021484375
1584385185.1317458,592845,537.2962036132812
1584385222.2100785,635262,590.8232421875
1584385258.7485492,677658,653.0072631835938
1584385303.0495393,720248,688.9483032226562
1584385344.0550818,764018,815.42236328125
1584385385.0024126,806767,777.4452514648438
1584385422.6782742,850539,787.7581176757812
1584385459.5149477,894193,922.5447998046875
1584385495.236863,938151,1018.6217651367188
1584385534.9701772,982770,1083.5596923828125
1584385549.3271115,1002053,1027.6116943359375
