Wall time,Step,Value
1583834020.0668564,1000,-1404.5333251953125
1583834080.8286355,21000,-1257.4302978515625
1583834144.2031467,41000,-1101.5706787109375
1583834204.6421726,61000,-960.5174560546875
1583834262.4691808,81000,-896.51806640625
1583834324.181532,101000,-800.610595703125
1583834381.5370147,121000,-726.3355712890625
1583834438.71856,141000,-644.4556884765625
1583834499.3222115,161000,-577.3341674804688
1583834556.6123211,181000,-524.5914306640625
1583834611.8350713,201000,-455.413818359375
1583834665.2244172,221000,-396.656494140625
1583834719.3189929,241000,-339.0777282714844
1583834774.2688673,261000,-272.7991943359375
1583834834.7817016,281000,-168.9244384765625
1583834899.766006,301000,-59.437522888183594
1583834956.6516528,321000,50.26375961303711
1583835018.2638173,341000,96.31061553955078
1583835074.5308385,361000,231.55221557617188
1583835133.9493937,381000,324.6840515136719
1583835192.8976383,401000,454.41717529296875
1583835255.6932797,421000,547.7068481445312
1583835313.0182703,441000,495.497314453125
1583835368.8467557,461000,509.4967346191406
1583835430.6214955,481000,583.7383422851562
1583835488.6295273,501000,554.8865966796875
1583835544.1010814,521000,618.7574462890625
1583835603.8271656,541000,629.9683837890625
1583835656.4516041,561000,674.7222900390625
1583835714.490898,581000,751.7207641601562
1583835776.297168,601000,958.0375366210938
1583835836.3478887,621000,686.5794677734375
1583835892.124449,641000,845.3062133789062
1583835943.2684007,661000,740.1267700195312
1583835996.9747465,681000,748.5639038085938
1583836051.7123642,701000,885.8959350585938
1583836109.4489994,721000,1043.48388671875
1583836168.601128,741000,1344.304931640625
1583836225.3860273,761000,1298.36962890625
1583836280.5180147,781000,1342.377685546875
1583836338.2113109,801000,1163.2413330078125
1583836396.9904058,821000,1285.9927978515625
1583836456.9497995,841000,1488.546875
1583836515.8094823,861000,1768.139892578125
1583836571.9192493,881000,1797.0360107421875
1583836623.7961707,901000,1686.91748046875
1583836681.9933965,921000,1662.484619140625
1583836736.8675156,941000,1826.465576171875
1583836793.3985813,961000,1862.915771484375
1583836846.4748514,981000,2143.48095703125
1583836901.4986794,1001000,2108.281494140625
1583836901.7805996,1001000,2108.281494140625
