Wall time,Step,Value
1583393436.2088232,1018,20.545080184936523
1583393707.4573193,21840,125.14725494384766
1583393980.8331752,43022,198.60720825195312
1583394245.1292384,64494,281.7705993652344
1583394519.2569032,86204,395.549072265625
1583394809.4724743,109550,794.0388793945312
1583395116.6338277,133491,914.0617065429688
1583395404.4772532,157645,1026.42138671875
1583395682.2301629,181938,1035.773681640625
1583395948.482872,205325,907.3231811523438
1583396194.3624902,228434,963.9507446289062
1583396410.2588294,251650,1023.411376953125
1583396683.1345887,277630,1533.4659423828125
1583396958.7206566,303753,1731.33984375
1583397299.3295999,329320,1582.7659912109375
1583397627.8948858,354610,1383.50830078125
1583398001.6950665,380502,1657.15185546875
1583398507.8148215,406443,1802.916015625
1583398960.5370235,431743,2047.055908203125
1583399317.9693851,455871,1457.6964111328125
1583399692.9759917,480319,1384.4268798828125
1583400036.2490573,504436,1582.526123046875
1583400444.5753038,529454,1537.0001220703125
1583400829.1257708,554373,1371.4097900390625
1583401154.2484164,578959,1209.3592529296875
1583401369.5965729,603315,1398.78955078125
1583401610.4850123,628347,1413.425537109375
1583401837.5240169,652436,1375.642822265625
1583402067.3538942,677332,1280.883544921875
1583402223.4000258,700555,1214.4456787109375
1583402363.4698696,723728,1212.7890625
1583402516.16199,747309,1310.0986328125
1583402743.1668866,772060,1801.250244140625
1583402995.8586338,798265,1823.2847900390625
1583403298.0128314,823051,1776.2994384765625
1583403497.215558,847736,2040.9644775390625
1583403714.9239554,873480,2358.6689453125
1583403916.1587,897759,2564.946044921875
1583404062.678451,921444,2578.888916015625
1583404263.6389225,946384,2352.1875
1583404453.822967,970158,2690.99169921875
1583404629.0565128,994353,2596.116943359375
1583404682.7039425,1000570,2567.5615234375
