Wall time,Step,Value
1584485904.1203175,1000,-184.1537628173828
1584486510.3566728,21000,-176.2412109375
1584487034.2358844,41000,-72.38607788085938
1584487604.6136856,61000,-36.906715393066406
1584488219.518239,81000,267.32928466796875
1584488797.5547328,101000,1066.8302001953125
1584489377.907264,121000,1341.1126708984375
1584490005.962049,141000,1451.95458984375
1584490604.8155057,161000,1583.388671875
1584491153.9304075,181000,1754.99169921875
1584491784.3456433,201000,1969.6781005859375
1584492427.4502547,221000,2130.372314453125
1584493035.65202,241000,2363.54736328125
1584493600.0701928,261000,2576.2294921875
1584494217.8499532,281000,2797.863525390625
1584494789.2000184,301000,3081.4697265625
1584495383.891872,321000,3201.421630859375
1584496022.2623665,341000,3380.984619140625
1584496626.5802152,361000,3456.35302734375
1584497225.8809745,381000,3620.29736328125
1584497748.0043693,401000,3561.17578125
1584498291.6255019,421000,3754.3095703125
1584498884.6258128,441000,3793.357421875
1584499488.7913337,461000,3961.998046875
1584500098.731285,481000,4034.697021484375
1584500679.0645227,500000,4046.253173828125
