Wall time,Step,Value
1584501474.2449923,1030,53.183441162109375
1584502103.3446703,21765,179.92898559570312
1584502772.4976969,42720,248.86581420898438
1584503435.7848427,63646,280.14654541015625
1584504104.5454798,85010,359.7630310058594
1584504779.304413,106863,508.62139892578125
1584505413.3124309,128724,583.1159057617188
1584506054.2667732,150629,563.648681640625
1584506704.3058798,172164,622.6216430664062
1584507382.2217216,194738,666.4390258789062
1584508052.3328161,216698,693.8928833007812
1584508696.545097,238217,671.010986328125
1584509403.9072027,260048,668.6986694335938
1584510100.1996145,282066,686.3753051757812
1584510767.0969164,304051,619.9046630859375
1584511466.9232423,326553,681.8234252929688
1584512153.2545178,348843,723.9159545898438
1584512849.3496754,370682,620.6348266601562
1584513563.6020663,392325,614.120361328125
1584514231.5012066,414665,678.5543212890625
1584514976.6674662,437086,806.0172729492188
1584515660.3056433,459264,750.8154907226562
1584516184.439781,481160,703.8552856445312
1584516543.4133742,501066,661.0224609375
