Wall time,Step,Value
1584270099.7649844,1009,51.66181182861328
1584270891.5741825,21907,206.90122985839844
1584271709.3746202,42767,270.28228759765625
1584272496.3799934,64295,302.2696838378906
1584273373.3872492,86160,326.58050537109375
1584274138.8252292,106892,337.79071044921875
1584274875.5461473,128004,357.84429931640625
1584275667.671038,149213,343.9811096191406
1584276455.5428765,171101,363.7533874511719
1584277230.5972435,192323,369.03057861328125
1584278034.9293957,212304,376.0176086425781
