Wall time,Step,Value
1586185511.994847,1026,53.1187744140625
1586185778.9512038,22327,254.16090393066406
1586186057.9142265,43256,383.9102478027344
1586186356.0567749,65164,514.0680541992188
1586186658.9459207,87385,763.3140869140625
1586186979.0535145,111051,1393.0008544921875
1586187351.790376,135958,1895.428955078125
1586187722.6061318,160689,2605.57373046875
1586188134.8048947,188099,2844.188720703125
1586188563.3588488,216074,2586.81982421875
1586188961.6924868,242529,2976.35107421875
1586189364.963843,269552,2824.92236328125
1586189759.021903,295619,2477.597900390625
1586190106.8076391,318509,2767.503173828125
1586190505.0992568,345087,2588.09130859375
1586190928.6490092,373227,3011.599853515625
1586191285.209563,397209,3130.989990234375
1586191672.6138,423646,3280.1826171875
1586192054.9525995,449199,3139.1611328125
1586192439.6192424,475386,2708.07666015625
1586192833.3506458,501943,3117.3095703125
1586193222.9635193,528473,2554.712890625
1586193609.8258455,554596,2549.25341796875
1586193994.9904847,580547,2920.6083984375
1586194380.3450027,606702,3028.960693359375
1586194765.961225,633006,2841.341064453125
1586195124.6891184,657207,3121.1845703125
1586195476.7620938,681070,3311.843994140625
1586195835.9928715,705390,2894.376220703125
1586196246.3999727,733213,3348.71630859375
1586196641.6972866,759456,2938.67333984375
1586197057.8108022,788334,3156.846435546875
1586197419.6623154,814692,3215.33203125
1586197741.607566,838286,3453.1572265625
1586198105.003208,864907,3365.346435546875
1586198420.4452226,888259,3436.461181640625
1586198783.321929,914906,3109.336669921875
1586199117.7629757,939840,3462.478759765625
1586199478.5577931,966346,3037.583251953125
1586199831.1252377,992308,2639.490478515625
1586199945.0781484,1000721,2932.320556640625
