Wall time,Step,Value
1584486207.290316,1018,56.6701545715332
1584486838.7206607,22053,212.70330810546875
1584487527.7425113,43409,280.1603698730469
1584488173.846897,64277,278.4421081542969
1584488821.0582159,85445,337.25823974609375
1584489459.053754,107134,434.0609130859375
1584490122.7546074,128968,459.0242614746094
1584490786.7633998,150859,494.45684814453125
1584491481.3440747,172884,544.4006958007812
1584492158.6098616,195055,602.90478515625
1584492899.7917068,218022,760.7227783203125
1584493590.783792,239941,526.5941772460938
1584494282.7764745,262435,703.10205078125
1584494998.9813173,285541,816.0476684570312
1584495692.8300345,308497,947.4886474609375
1584496438.9343996,333423,1490.4111328125
1584497072.1237254,355635,1419.1214599609375
1584497810.2737267,378903,1042.9495849609375
1584498514.9706628,402464,1029.1260986328125
1584499222.6788545,425411,1003.284912109375
1584499917.8513062,447897,1080.86279296875
1584500595.4400783,471159,1230.950927734375
1584501323.7111714,496594,1450.8900146484375
1584501441.390509,500377,1613.755859375
