Wall time,Step,Value
1584357243.3052833,1004,-7.805848598480225
1584357336.6872046,11254,30.215906143188477
1584357443.9570076,22553,76.86934661865234
1584357545.3344786,33218,70.34217071533203
1584357654.2067838,44730,122.57848358154297
1584357759.298738,55851,278.4898376464844
1584357893.103905,68828,381.865478515625
1584358000.0163026,79649,292.3723449707031
1584358112.3317864,90959,455.38629150390625
1584358217.8034308,101767,394.1139221191406
1584358324.0729232,112720,340.8297424316406
1584358467.6848156,123681,388.8706359863281
1584358584.6234019,135480,462.3066711425781
1584358691.6989965,146421,387.0643005371094
1584358799.6874278,157285,389.36175537109375
1584358910.5895584,168604,417.28460693359375
1584359028.5335448,179668,396.99029541015625
1584359139.690124,191122,419.6556396484375
1584359258.89857,202942,521.9105224609375
1584359371.8022823,213808,476.3154602050781
1584359487.0862675,225226,431.37664794921875
1584359603.8479028,236088,488.56097412109375
1584359718.4278626,247434,465.8591003417969
1584359825.8914983,258013,467.57489013671875
1584359935.6697311,268918,617.24853515625
1584360048.4632072,280337,581.635986328125
1584360180.8400185,292753,787.9078979492188
1584360299.2534866,304657,816.445556640625
1584360424.8796763,317410,945.7027587890625
1584360547.525218,329614,1223.68701171875
1584360674.5888286,342379,1427.673583984375
1584360807.0983438,354988,1496.047119140625
1584360934.5789628,367757,1578.7515869140625
1584361058.356732,380232,1498.2413330078125
1584361172.6014032,391668,1319.7281494140625
1584361299.4482281,404447,1394.717529296875
1584361459.4253206,418785,1659.9202880859375
1584361607.0631626,433531,1899.8822021484375
1584361735.857855,446561,1739.3792724609375
1584361870.1162324,459938,1936.5858154296875
1584362006.9842746,473548,1764.33203125
1584362147.826905,486282,2056.6357421875
1584362265.663066,498249,2433.436279296875
1584362395.292489,511282,2546.664794921875
1584362516.6045158,523259,2762.27978515625
1584362648.587827,536381,2724.279296875
1584362778.0296717,547513,2573.620849609375
1584362915.9118698,561322,2762.7431640625
1584363054.2902675,574938,2636.767822265625
1584363177.624555,587214,2221.732666015625
1584363306.2228606,600392,2452.500244140625
1584363469.5754545,613056,2273.45361328125
1584363589.6924398,625079,2341.703369140625
1584363721.5863116,638100,2269.24609375
1584363847.991015,650687,2164.35302734375
1584363992.183671,665321,2496.792236328125
1584364130.1512089,677893,2461.579345703125
1584364262.3218973,691249,2547.0595703125
1584364406.921546,706003,2237.117919921875
1584364527.668803,718185,2618.83984375
1584364648.6014683,730206,2736.021728515625
1584364786.4081986,740206,3051.735595703125
1584364904.0855653,752444,3087.2685546875
1584365018.0211737,764079,3135.28857421875
1584365133.809186,775689,3006.8818359375
1584365259.995601,788397,3169.7919921875
1584365413.0253427,800012,3080.6044921875
1584365549.4298978,813455,3222.464111328125
1584365674.6476128,826066,3192.046142578125
1584365795.4194584,837914,3157.981689453125
1584365905.2329488,848789,3212.501953125
1584366047.8147497,862033,3181.4150390625
1584366158.5874598,873152,3114.650390625
1584366267.4003813,884080,3232.65673828125
1584366371.5401824,894610,3346.3955078125
1584366475.6154203,904970,3389.818603515625
1584366621.4105246,915796,3421.745361328125
1584366745.677239,928286,3283.49072265625
1584366872.2853112,941160,3445.35009765625
1584366990.9204233,953164,3424.35791015625
1584367108.6023529,965131,3492.563232421875
1584367260.7519147,977537,3633.191162109375
1584367372.6234796,988909,3442.52587890625
1584367490.5969121,1000825,3386.670654296875
1584367634.90536,1015297,3631.407470703125
1584367741.2895734,1026107,3401.96044921875
1584367899.1834402,1039213,3366.742919921875
1584368033.3409774,1052534,3427.87890625
1584368165.05689,1065552,3229.17919921875
1584368274.289405,1076389,3341.6826171875
1584368384.5849352,1087486,3381.424072265625
1584368510.5077932,1098883,3387.913818359375
1584368620.0627856,1110042,3343.97314453125
1584368752.036542,1123362,3374.76513671875
1584368859.6265113,1134260,3422.958251953125
1584368978.6692011,1146304,3366.21826171875
1584369133.3979356,1157976,3214.55517578125
1584369263.990881,1171016,3389.797607421875
1584369398.2652004,1184489,3293.05615234375
1584369519.6564906,1196587,3044.432373046875
1584369631.689635,1207665,2965.64501953125
