Wall time,Step,Value
1584486571.6863372,1000,-261.01141357421875
1584487227.5376797,21000,764.6941528320312
1584487802.2159452,41000,1886.5496826171875
1584488415.9563303,61000,2494.16748046875
1584489029.3008757,81000,3317.0693359375
1584489584.2050505,101000,3611.888916015625
1584490116.77251,121000,3908.93212890625
1584490719.7664654,141000,4104.10595703125
1584491365.074236,161000,4177.77001953125
1584491976.5905247,181000,4219.76123046875
1584492514.5891578,201000,4323.51611328125
1584493143.944606,221000,4375.02734375
1584493787.1217048,241000,4422.55419921875
1584494352.5774183,261000,4404.330078125
1584494911.9337153,281000,4435.01611328125
1584495517.593527,301000,4523.58203125
1584496067.556073,321000,4506.2880859375
1584496614.5906289,341000,4463.77978515625
1584497189.9438593,361000,4422.62353515625
1584497814.8493154,381000,4543.40380859375
1584498436.4088118,401000,4541.943359375
1584499068.6396115,421000,4559.80615234375
1584499675.167331,441000,4601.72998046875
1584500236.645607,461000,4627.42919921875
1584500858.9964113,481000,4671.0048828125
1584501415.2573876,500000,4665.9033203125
