Wall time,Step,Value
1584261979.162359,1024,44.72749328613281
1584262774.8389547,21987,172.76376342773438
1584263500.7884798,43158,194.1268768310547
1584264331.5434895,64403,210.46717834472656
1584265117.1459022,85479,241.48898315429688
1584265908.8797703,106527,303.853759765625
1584266757.382418,128201,471.62646484375
1584267574.0882323,150411,577.66064453125
1584268416.5998945,172234,512.6534423828125
1584269282.4925842,193696,485.17352294921875
1584270077.2004545,214117,477.13043212890625
