Wall time,Step,Value
1586255266.320773,1011,205.65982055664062
1586255557.7319486,22297,281.2964782714844
1586255846.3790925,43631,399.8619079589844
1586256149.4520707,65947,639.0504150390625
1586256444.5997736,87715,845.2173461914062
1586256754.1144998,110423,896.9521484375
1586257079.1745512,134156,1135.444091796875
1586257405.2388337,158132,2169.08251953125
1586257753.2741766,183397,3018.427734375
1586258103.0711684,209029,2794.821044921875
1586258441.6930993,233080,2774.971923828125
1586258781.4904144,257513,2362.942138671875
1586259139.971307,281701,2948.2607421875
1586259550.6376226,308848,2170.085205078125
1586259952.645564,335802,2698.554443359375
1586260326.8716936,359608,3011.88134765625
1586260701.0659251,386695,2398.86279296875
1586261065.1129696,411560,2569.869384765625
1586261438.7190955,438330,2934.34033203125
1586261814.0499585,466086,3047.0126953125
1586262178.3874414,492854,2859.722412109375
1586262513.9552202,517563,2681.56201171875
1586262846.9659019,542039,2857.09912109375
1586263162.6705909,565307,2834.4375
1586263529.873271,591713,2699.670166015625
1586263874.711259,617277,3148.5869140625
1586264204.6210682,641414,3242.913330078125
1586264489.7313972,662023,3325.052001953125
1586264774.928055,682878,3339.191162109375
1586265060.5949957,703881,3359.572265625
1586265346.6907003,724947,3356.650146484375
1586265648.0615132,747076,3404.569580078125
1586265963.698786,770126,3433.605712890625
1586266248.4415827,791017,3448.449951171875
1586266533.1992986,811834,3432.823974609375
1586266842.3801682,834299,3333.6396484375
1586267144.0329423,856456,3457.792236328125
1586267461.914472,879923,3436.809326171875
1586267737.8603506,899923,3482.9794921875
1586268029.2751808,920962,3507.2734375
1586268340.1391518,942563,3528.026123046875
1586268701.6220345,967595,3362.6962890625
1586269029.5534706,990843,3418.566162109375
1586269182.232212,1001628,3448.557373046875
