Wall time,Step,Value
1584471323.2838938,1011,43.656158447265625
1584471779.577536,21812,162.509765625
1584472427.3293216,42779,247.0321807861328
1584473064.499985,64151,276.6755065917969
1584473708.1135125,85411,301.6119384765625
1584474339.4550464,106689,300.62298583984375
1584475006.8833473,127895,315.94366455078125
1584475625.6722975,150036,412.0100402832031
1584476268.022242,172288,654.9688110351562
1584476967.9547284,194528,687.8853759765625
1584477618.3846943,216249,672.972412109375
1584478305.7635221,238619,689.4638671875
1584479037.8074572,260941,850.5978393554688
1584479687.976142,283489,805.2386474609375
1584480328.7836757,306045,833.868408203125
1584481012.0499814,328996,826.8695068359375
1584481706.8025746,351029,771.4002685546875
1584482395.5111742,373032,731.5218505859375
1584483063.755659,395540,999.58544921875
1584483717.0007706,418312,900.1114501953125
1584484430.62501,442019,1196.2615966796875
1584485204.687176,467855,1953.4151611328125
1584485968.5201151,492598,2275.926025390625
1584486228.4844527,500979,2578.342041015625
